#,Time,%Passes,Change,Test,Pass,Partial,Fail,Untested
0,Sat Aug 27 10:59:34 EDT 2016,0,0,Assignment1Suite, , ,InvalidCharacterOutputTest- InvalidCharacterProductTest- InvalidCharacterSumTest- MultipleTokenProductTest- MultipleTokenSumTest- MultipleTokensOutputTest- SingleTokenOutputTest- SingleTokenProductTest- SingleTokenSumTest- TerminatesWithPeriodOutputTest- TerminatesWithPeriodProductTest- TerminatesWithPeriodSumTest- VariableSpaceOutputTest- VariableSpaceProductTest- VariableSpaceSumTest- , ,
1,Sat Aug 27 11:03:43 EDT 2016,0,0,Assignment1Suite, , ,InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodOutputTest TerminatesWithPeriodProductTest TerminatesWithPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
2,Sat Aug 27 11:24:38 EDT 2016,0,0,Assignment1Suite, , ,InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodOutputTest TerminatesWithPeriodProductTest TerminatesWithPeriodSumTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
3,Fri Sep 09 19:15:39 EDT 2016,61,61,Assignment1Suite,MultipleTokenProductTest+ MultipleTokenSumTest+ MultipleTokensOutputTest+ ScanStringTest+ SingleTokenOutputTest+ SingleTokenProductTest+ SingleTokenSumTest+ TerminatesWithPeriodLineOutputTest+ TerminatesWithPeriodLineProductTest+ TerminatesWithPeriodLineSumTest+ TerminatesWithStartingPeriodOutputTest+ TerminatesWithStartingPeriodProductTest+ TerminatesWithStartingPeriodSumTest+ , ,IndexOfTest- InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest- VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
4,Fri Sep 09 19:15:50 EDT 2016,61,0,IndexOfTest,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
5,Fri Sep 09 19:16:01 EDT 2016,61,0,IndexOfTest,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
6,Fri Sep 09 19:16:11 EDT 2016,61,0,IndexOfTest,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
7,Fri Sep 09 19:54:43 EDT 2016,48,0,Assignment1Suite,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest IndexOfTestCharacterNotFound- IndexOfTestFirstSpace- IndexOfTestNonSpaceAtEnd- IndexOfTestNonSpaceStartAt- IndexOfTestSecondSpace- IndexOfTestSpaceSameIndex- InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
8,Fri Sep 09 19:54:45 EDT 2016,48,0,IndexOfTestSuite,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
9,Fri Sep 09 19:54:55 EDT 2016,48,0,IndexOfTestSuite,MultipleTokenProductTest MultipleTokenSumTest MultipleTokensOutputTest ScanStringTest SingleTokenOutputTest SingleTokenProductTest SingleTokenSumTest TerminatesWithPeriodLineOutputTest TerminatesWithPeriodLineProductTest TerminatesWithPeriodLineSumTest TerminatesWithStartingPeriodOutputTest TerminatesWithStartingPeriodProductTest TerminatesWithStartingPeriodSumTest , ,IndexOfTest IndexOfTestCharacterNotFound IndexOfTestFirstSpace IndexOfTestNonSpaceAtEnd IndexOfTestNonSpaceStartAt IndexOfTestSecondSpace IndexOfTestSpaceSameIndex InvalidCharacterOutputTest InvalidCharacterProductTest InvalidCharacterSumTest ScanningIteratorTest VariableSpaceOutputTest VariableSpaceProductTest VariableSpaceSumTest , ,
